B,V,r,i,J,H
4369.39031373494,5366.275487682285,6139.977565561641,7541.995016504401,12448.516802604601,16138.729232787296
4374.84031373496,5356.72548768225,6186.32756556181,7558.545016504461,12428.91680260453,16131.87923278727
4374.390313734958,5366.125487682284,6144.327565561657,7542.445016504403,12446.816802604597,16154.779232787354
4371.740313734948,5365.4254876822815,6152.477565561687,7549.5450165044285,12439.366802604569,16135.229232787282
4374.040313734957,5362.17548768227,6161.927565561721,7551.545016504436,12435.416802604555,16142.279232787309
4371.740313734948,5360.675487682264,6174.027565561765,7557.045016504456,12432.966802604546,16146.079232787322
4369.290313734939,5364.025487682276,6146.227565561664,7546.445016504417,12441.316802604575,16144.429232787315
4375.690313734963,5360.875487682265,6180.227565561788,7556.245016504453,12434.51680260455,16133.029232787274
4371.590313734948,5366.225487682284,6126.077565561591,7535.945016504379,12445.116802604589,16153.52923278735
4375.290313734961,5357.825487682254,6181.327565561792,7556.245016504453,12426.466802604522,16141.429232787304
4367.590313734933,5366.425487682285,6126.327565561592,7535.195016504376,12448.566802604602,16150.679232787339
